"","Variable","Description","URL","Levels","Category","UKB.dataset.ID","Field.ID","Notes","Description.1","Years.collected","UKB.Assessment","UKB.Category"
"483","poultry","Poultry intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1359",NA,"Diet","f.1359.0.0",1359,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"484","beef","Beef intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1369",NA,"Diet","f.1369.0.0",1369,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"485","lamb","Lamb/mutton intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1379",NA,"Diet","f.1379.0.0",1379,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"486","pork","Pork intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1389",NA,"Diet","f.1389.0.0",1389,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"488","never_eat_sugar","Never eat eggs, dairy, wheat, sugar","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6144",NA,"Diet","f.6144.0.0 - f.6144.0.3",6144,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"489","never_eat_eggs","Never eat eggs, dairy, wheat, sugar","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6144",NA,"Diet","f.6144.0.0 - f.6144.0.3",6144,"",NA,"","",""
"490","never_eat_wheat","Never eat eggs, dairy, wheat, sugar","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6144",NA,"Diet","f.6144.0.0 - f.6144.0.3",6144,"",NA,"","",""
"491","never_eat_dairy","Never eat eggs, dairy, wheat, sugar","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6144",NA,"Diet","f.6144.0.0 - f.6144.0.3",6144,"",NA,"","",""
"492","cheese","Cheese intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1408",NA,"Diet","f.1408.0.0",1408,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"493","milk_type","Milk type used","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1418",NA,"Diet","f.1418.0.0",1418,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"494","spread_type","Spread type","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1428",NA,"Diet","f.1428.0.0",1428,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"496","bread","Bread intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1438",NA,"Diet","f.1438.0.0",1438,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"497","bread_type","Bread type","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1448",NA,"Diet","f.1448.0.0",1448,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"498","cereal","Cereal intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1458",NA,"Diet","f.1458.0.0",1458,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"499","cereal_type","Cereal type","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1468",NA,"Diet","f.1468.0.0",1468,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"500","salt","Salt added to food","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1478",NA,"Diet","f.1478.0.0",1478,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"501","tea","Tea intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1488",NA,"Diet","f.1488.0.0",1488,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"502","coffee","Coffee intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1498",NA,"Diet","f.1498.0.0",1498,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"503","coffee_type","Coffee type","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1508",NA,"Diet","f.1508.0.0",1508,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"504","hot_drink_temp","Hot drink temperature","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1518",NA,"Diet","f.1518.0.0",1518,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"505","water","Water intake","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1528",NA,"Diet","f.1528.0.0",1528,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"506","diet_change_5yrs","Major dietary changes in the last 5 years","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1538",NA,"Diet","f.1538.0.0",1538,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"507","diet_variation","Variation in diet","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1548",NA,"Diet","f.1548.0.0",1548,"",NA,"2006-2010","ACE/Touchscreen","Diet"
"514","summer_outdoors_time","Time spend outdoors in summer","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1050",NA,"Sun exposure","f.1050.0.0",1050,"",NA,"2006-2010","ACE/Touchscreen","Sun exposure"
"515","winter_outdoors_time","Time spent outdoors in winter","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1060",NA,"Sun exposure","f.1060.0.0",1060,"",NA,"2006-2010","ACE/Touchscreen","Sun exposure"
"516","skin_color","Skin colour","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1717",NA,"Sun exposure","f.1717.0.0",1717,"",NA,"2006-2010","ACE/Touchscreen","Sun exposure"
"517","skin_tan_ease","Ease of skin tanning","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1727",NA,"Sun exposure","f.1727.0.0",1727,"",NA,"2006-2010","ACE/Touchscreen","Sun exposure"
"518","childhood_sunburn_number","Childhood sunburn occasions","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1737",NA,"Sun exposure","f.1737.0.0",1737,"",NA,"2006-2010","ACE/Touchscreen","Sun exposure"
"519","hair_color","Hair colour (natural, before greying)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1747",NA,"Sun exposure","f.1747.0.0",1747,"",NA,"2006-2010","ACE/Touchscreen","Sun exposure"
"520","facial_aging","Facial ageing","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1757",NA,"Sun exposure","f.1757.0.0",1757,"",NA,"2006-2010","ACE/Touchscreen","Sun exposure"
"521","sun_protection_use","Use of sun/uv protection","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2267",NA,"Sun exposure","f.2267.0.0",2267,"",NA,"2006-2010","ACE/Touchscreen","Sun exposure"
"522","solarium_freq","Frequency of solarium/sunlamp use","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2277",NA,"Sun exposure","f.2277.0.0",2277,"",NA,"2006-2010","ACE/Touchscreen","Sun exposure"
"523","sex_age_first","Age first had sexual intercourse","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2139",NA,"Sexual history","f.2139.0.0",2139,"",NA,"2006-2010","ACE/Touchscreen","Sexual factors"
"524","number_sex_partners","Lifetime number of sexual partners","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2149",NA,"Sexual history","f.2149.0.0",2149,"",NA,"2006-2010","ACE/Touchscreen","Sexual factors"
"525","same_sex_intercourse","Ever had same-sex intercourse","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2159",NA,"Sexual history","f.2159.0.0",2159,"",NA,"2006-2010","ACE/Touchscreen","Sexual factors"
"527","above_activity_recommendation","Above moderate/vigorous recommendation","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=22035",NA,"Physical activity","f.22035.0.0",22035,"",NA,"2006-2010","ACE/Touchscreen","MET scores"
"528","above_activity_recommendation_incl_walk","Above moderate/vigorous/walking recommendation","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=22036",NA,"Physical activity","f.22036.0.0",22036,"",NA,"2006-2010","ACE/Touchscreen","MET scores"
"529","IPAQ_activity_group","IPAQ activity group","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=22032",NA,"Physical activity","f.22032.0.0",22032,"",NA,"2006-2010","ACE/Touchscreen","MET scores"
"530","MET_mins_moderate_activty","MET minutes per week for moderate activity","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=22038",NA,"Physical activity","f.22038.0.0",22038,"",NA,"2006-2010","ACE/Touchscreen","MET scores"
"531","MET_mins_vigorous_activty","MET minutes per week for vigorous activity","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=22039",NA,"Physical activity","f.22039.0.0",22039,"",NA,"2006-2010","ACE/Touchscreen","MET scores"
"532","MET_mins_walking","MET minutes per week for walking","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=22037",NA,"Physical activity","f.22037.0.0",22037,"",NA,"2006-2010","ACE/Touchscreen","MET scores"
"533","MET_mins_sum","Summed MET minutes per week for all activity","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=22040",NA,"Physical activity","f.22040.0.0",22040,"",NA,"2006-2010","ACE/Touchscreen","MET scores"
"534","days_activity_sum","Summed days activity","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=22033",NA,"Physical activity","f.22033.0.0",22033,"",NA,"2006-2010","ACE/Touchscreen","MET scores"
"535","mins_activity_sum","Summed minutes activity","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=22034",NA,"Physical activity","f.22034.0.0",22034,"",NA,"2006-2010","ACE/Touchscreen","MET scores"
"536","fast_driving","Drive faster than motorway speed limit","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1100",NA,"Physical activity","f.1100.0.0",1100,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"537","heavy_DIY_duration","Duration of heavy DIY","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2634",NA,"Physical activity","f.2634.0.0",2634,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"538","light_DIY_duration","Duration of light DIY","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1021",NA,"Physical activity","f.1021.0.0",1021,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"540","other_exercise_duration","Duration of other exercises","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3647",NA,"Physical activity","f.3647.0.0",3647,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"541","strenuous_sports_duration","Duration of strenuous sports","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1001",NA,"Physical activity","f.1001.0.0",1001,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"544","pleasure_walks_duration","Duration walking for pleasure","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=981",NA,"Physical activity","f.981.0.0",981,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"545","heavy_DIY_freq_4wks","Frequency of heavy DIY in last 4 weeks","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2624",NA,"Physical activity","f.2624.0.0",2624,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"546","light_DIY_freq_4wks","Frequency of light DIY in last 4 weeks","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1011",NA,"Physical activity","f.1011.0.0",1011,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"547","other_exercise_freq_4wks","Frequency of other exercises in last 4 weeks","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3637",NA,"Physical activity","f.3637.0.0",3637,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"549","strenuous_sports_freq_4wks","Frequency of strenuous sports in last 4 weeks","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=991",NA,"Physical activity","f.991.0.0",991,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"550","pleasure_walks_freq_4wks","Frequency of walking for pleasure in last 4 weeks","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=971",NA,"Physical activity","f.971.0.0",971,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"551","moderate_activity_over_10mins_days","Number of days/week of moderate physical activity 10+ minutes","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=884",NA,"Physical activity","f.884.0.0",884,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"552","vigorous_activity_over_10mins_days","Number of days/week of vigorous physical activity 10+ minutes","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=904",NA,"Physical activity","f.904.0.0",904,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"553","walked_over_10mins_days","Number of days/week walked 10+ minutes","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=864",NA,"Physical activity","f.864.0.0",864,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"554","driving_time","Time spent driving","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1090",NA,"Physical activity","f.1090.0.0",1090,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"555","computer_time","Time spent using computer","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1080",NA,"Physical activity","f.1080.0.0",1080,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"556","TV_time","Time spent watching television (TV)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1070",NA,"Physical activity","f.1070.0.0",1070,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"557","light_DIY_4wks","Types of physical activity in last 4 weeks","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6164",NA,"Physical activity","f.6164.0.0 - f.6164.0.4",6164,"",NA,"2006-2010","ACE/Touchscreen","Physical activity"
"558","pleasure_walks_4wks","Types of physical activity in last 4 weeks","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6164",NA,"Physical activity","f.6164.0.0 - f.6164.0.4",6164,"",NA,"","",""
"559","other_exercise_4wks","Types of physical activity in last 4 weeks","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6164",NA,"Physical activity","f.6164.0.0 - f.6164.0.4",6164,"",NA,"","",""
"560","heavy_DIY_4wks","Types of physical activity in last 4 weeks","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6164",NA,"Physical activity","f.6164.0.0 - f.6164.0.4",6164,"",NA,"","",""
"561","strenuous_sports_4wks","Types of physical activity in last 4 weeks","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6164",NA,"Physical activity","f.6164.0.0 - f.6164.0.4",6164,"",NA,"","",""
"569","usual_walking_pace","Usual walking pace","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=924",NA,"Physical activity","f.924.0.0",924,"",NA,"2006-2018","ACE/Touchscreen","Physical activity"
"570","visual_acuity_left","logMAR, final (left)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=5208",NA,"Physical measures","f.5208.0.0",5208,"",NA,"2006-2010","ACE/Physical measures","Visual acuity"
"571","visual_acuity_right","logMAR, final (right)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=5201",NA,"Physical measures","f.5201.0.0",5201,"",NA,"2006-2010","ACE/Physical measures","Visual acuity"
"572","speech_reception_threshold_left","Speech-reception-threshold (SRT) estimate (left)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20019",NA,"Physical measures","f.20019.0.0",20019,"",NA,"2006-2010","ACE/Physical measures","Hearing test"
"573","speech_reception_threshold_right","Speech-reception-threshold (SRT) estimate (right)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20021",NA,"Physical measures","f.20021.0.0",20021,"",NA,"2006-2010","ACE/Physical measures","Hearing test"
"577","pulse_wave_notch_position","Position of pulse wave notch","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4199",NA,"Physical measures","f.4199.0.0",4199,"",NA,"2006-2010","ACE/Physical measures","Arterial stiffness"
"578","pulse_wave_peak_position","Position of the pulse wave peak","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4198",NA,"Physical measures","f.4198.0.0",4198,"",NA,"2006-2010","ACE/Physical measures","Arterial stiffness"
"579","pulse_wave_shoulder_position","Position of the shoulder on the pulse waveform","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4200",NA,"Physical measures","f.4200.0.0",4200,"",NA,"2006-2010","ACE/Physical measures","Arterial stiffness"
"581","pulse_wave_arterial_stiffness_index","Pulse wave Arterial Stiffness index","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=21021",NA,"Physical measures","f.21021.0.0",21021,"",NA,"2006-2010","ACE/Physical measures","Arterial stiffness"
"582","pulse_wave_peak_to_peak_time","Pulse wave peak to peak time","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4196",NA,"Physical measures","f.4196.0.0",4196,"",NA,"2006-2010","ACE/Physical measures","Arterial stiffness"
"583","pulse_wave_reflection_index","Pulse wave reflection index","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4195",NA,"Physical measures","f.4195.0.0",4195,"",NA,"2006-2010","ACE/Physical measures","Arterial stiffness"
"584","waist_circumference","Waist circumference","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=48",NA,"Physical measures","f.48.0.0",48,"",NA,"2006-2010","ACE/Physical measures","Body size measures"
"585","weight","Weight","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=21002",NA,"Physical measures","f.21002.0.0",21002,"",NA,"2006-2010","ACE/Physical measures","Body size measures"
"586","BMI","Body mass index (BMI)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=21001",NA,"Physical measures","f.21001.0.0",21001,"",NA,"2006-2010","ACE/Physical measures","Body size measures"
"587","hip_circumference","Hip circumference","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=49",NA,"Physical measures","f.49.0.0",49,"",NA,"2006-2010","ACE/Physical measures","Body size measures"
"588","standing_height","Standing height","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=50",NA,"Physical measures","f.50.0.0",50,"",NA,"2006-2010","ACE/Physical measures","Body size measures"
"589","seated_height","Seated height","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=51",NA,"Physical measures","f.51.0.0",51,"",NA,"2006-2010","ACE/Physical measures","Body size measures"
"590","sitting_height","Sitting height","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20015",NA,"Physical measures","f.20015.0.0",20015,"",NA,"2006-2010","ACE/Physical measures","Body size measures"
"591","hand_grip_strength_left","Hand grip strength (left)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=46",NA,"Physical measures","f.46.0.0",46,"",NA,"2006-2010","ACE/Physical measures","Hand grip strength"
"593","hand_grip_strength_right","Hand grip strength (right) normalized by weight (derived)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=47",NA,"Physical measures","f.47.0.0",47,"",NA,"2006-2010","ACE/Physical measures","Hand grip strength"
"595","leg_fat_free_mass_right","Leg fat-free mass (right)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23113",NA,"Physical measures","f.23113.0.0",23113,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"596","leg_predicted_mass_left","Leg predicted mass (left)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23118",NA,"Physical measures","f.23118.0.0",23118,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"597","leg_predicted_mass_right","Leg predicted mass (right)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23114",NA,"Physical measures","f.23114.0.0",23114,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"598","arm_fat_percentage_left","Arm fat percentage (left)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23123",NA,"Physical measures","f.23123.0.0",23123,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"599","arm_fat_percentage_right","Arm fat percentage (right)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23119",NA,"Physical measures","f.23119.0.0",23119,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"600","arm_fat_mass_left","Arm fat mass (left)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23124",NA,"Physical measures","f.23124.0.0",23124,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"601","arm_fat_mass_right","Arm fat mass (right)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23120",NA,"Physical measures","f.23120.0.0",23120,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"602","arm_fat_free_mass_right","Arm fat-free mass (right)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23121",NA,"Physical measures","f.23121.0.0",23121,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"603","arm_fat_free_mass_left","Arm fat-free mass (left)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23125",NA,"Physical measures","f.23125.0.0",23125,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"604","arm_predicted_mass_left","Arm predicted mass (left)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23126",NA,"Physical measures","f.23126.0.0",23126,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"605","arm_predicted_mass_right","Arm predicted mass (right)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23122",NA,"Physical measures","f.23122.0.0",23122,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"606","trunk_fat_percentage","Trunk fat percentage","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23127",NA,"Physical measures","f.23127.0.0",23127,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"607","trunk_fat_mass","Trunk fat mass","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23128",NA,"Physical measures","f.23128.0.0",23128,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"608","trunk_fat_free_mass","Trunk fat-free mass","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23129",NA,"Physical measures","f.23129.0.0",23129,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"609","trunk_predicted_mass","Trunk predicted mass","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23130",NA,"Physical measures","f.23130.0.0",23130,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"610","basal_metabolic_rate","Basal metabolic rate","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23105",NA,"Physical measures","f.23105.0.0	",23105,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"611","body_fat_percent","Body fat percentage","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23099",NA,"Physical measures","f.23099.0.0",23099,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"612","whole_body_fat_mass","Whole body fat mass","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23100",NA,"Physical measures","f.23100.0.0",23100,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"613","whole_body_fat_free_mass","Whole body fat-free mass","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23101",NA,"Physical measures","f.23101.0.0",23101,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"614","whole_body_water_mass","Whole body water mass","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23102",NA,"Physical measures","f.23102.0.0",23102,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"615","leg_fat_percentage_left","Leg fat percentage (left)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23115",NA,"Physical measures","f.23115.0.0",23115,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"616","leg_fat_percentage_right","Leg fat percentage (right)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23111",NA,"Physical measures","f.23111.0.0",23111,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"617","leg_fat_mass_left","Leg fat mass (left)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23116",NA,"Physical measures","f.23116.0.0",23116,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"618","leg_fat_mass_right","Leg fat mass (right)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23112",NA,"Physical measures","f.23112.0.0",23112,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"619","leg_fat_free_mass_left","Leg fat-free mass (left)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23117",NA,"Physical measures","f.23117.0.0",23117,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"620","whole_body_impedance","Impedance of whole body","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23106",NA,"Physical measures","f.23106.0.0",23106,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"621","arm_left_impedance","Impedance of arm (left)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23110",NA,"Physical measures","f.23110.0.0",23110,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"622","arm_right_impedance","Impedance of arm (right)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23109",NA,"Physical measures","f.23109.0.0",23109,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"623","leg_left_impedance","Impedance of leg (left)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23108",NA,"Physical measures","f.23108.0.0",23108,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"624","leg_right_impedance","Impedance of leg (right)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=23107",NA,"Physical measures","f.23107.0.0",23107,"",NA,"2006-2010","ACE/Physical measures","Impedance measures"
"626","FVC_best","Forced vital capacity (FVC), Best measure","http://biobank.ndph.ox.ac.uk/crystal/field.cgi?id=20151",NA,"Physical measures","f.20151.0.0",20151,"",NA,"2006-2010","ACE/Physical measures","Spirometry"
"627","FVC_z_score","Forced vital capacity (FVC) Z-score","http://biobank.ndph.ox.ac.uk/crystal/field.cgi?id=20257",NA,"Physical measures","f.20257.0.0",20257,"",NA,"2006-2010","ACE/Physical measures","Spirometry"
"629","FEV1_best","Forced expiratory volume in 1-second (FEV1), Best measure","http://biobank.ndph.ox.ac.uk/crystal/field.cgi?id=20150",NA,"Physical measures","f.20150.0.0",20150,"",NA,"2006-2010","ACE/Physical measures","Spirometry"
"630","FEV1_predicted","Forced expiratory volume in 1-second (FEV1), predicted","http://biobank.ndph.ox.ac.uk/crystal/field.cgi?id=20153",NA,"Physical measures","f.20153.0.0",20153,"",NA,"2006-2010","ACE/Physical measures","Spirometry"
"631","FEV1_predicted_percentage","Forced expiratory volume in 1-second (FEV1), predicted percentage","http://biobank.ndph.ox.ac.uk/crystal/field.cgi?id=20154",NA,"Physical measures","f.20154.0.0",20154,"",NA,"2006-2010","ACE/Physical measures","Spirometry"
"632","FEV1_z_score","Forced expiratory volume in 1-second (FEV1) Z-score","http://biobank.ndph.ox.ac.uk/crystal/field.cgi?id=20256",NA,"Physical measures","f.20256.0.0",20256,"",NA,"2006-2010","ACE/Physical measures","Spirometry"
"633","FEV1_FVC_ratio_z_score","FEV1/ FVC ratio Z-score","http://biobank.ndph.ox.ac.uk/crystal/field.cgi?id=20258",NA,"Physical measures","f.20258.0.0",20258,"",NA,"2006-2010","ACE/Physical measures","Spirometry"
"634","fractured_heel","Fractured heel","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3082",NA,"Physical measures","f.3082.0.0	",3082,"",NA,"2006-2010","ACE/Physical measures","Bone-densitometry of heel"
"640","heel_bone_mineral_density","Heel bone mineral density (BMD)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3148",NA,"Physical measures","f.3148.0.0",3148,"",NA,"2006-2010","ACE/Physical measures","Bone-densitometry of heel"
"656","identify_matches_mean_time","Mean time to correctly identify matches","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20023",NA,"Cognitive function","f.20023.0.0",20023,"",NA,"2006-2010","ACE/Cognitive function","Reaction time"
"658","fluid_intelligence","Fluid intelligence score","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20016",NA,"Cognitive function","f.20016.0.0	",20016,"",NA,"2006-2010","ACE/Cognitive function","Fluid intelligence / reasoning"
